jobid,name,url,remote_testing,adaptive_support,test_type,Assessment Length,text_for_embedding
4302.0,Global Skills Development Report,/products/product-catalog/view/global-skills-development-report/,Yes,No,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior",Approximate Completion Time in minutes = ,"Test Name: Global Skills Development Report | Test Types: Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior | Remote: Yes | Adaptive: No"
3827.0,.NET Framework 4.5,/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 30,Test Name: .NET Framework 4.5 | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: Yes | Time required: 30 minutes
4094.0,.NET MVC (New),/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 17,Test Name: .NET MVC (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 17 minutes
4099.0,.NET MVVM (New),/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: .NET MVVM (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
4018.0,.NET WCF (New),/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 11,Test Name: .NET WCF (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 11 minutes
4016.0,.NET WPF (New),/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: .NET WPF (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4165.0,.NET XAML (New),/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: .NET XAML (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
4178.0,Accounts Payable (New),/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: Accounts Payable (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4187.0,Accounts Payable Simulation (New),/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 8,Test Name: Accounts Payable Simulation (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 8 minutes
4179.0,Accounts Receivable (New),/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Accounts Receivable (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
4188.0,Accounts Receivable Simulation (New),/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 8,Test Name: Accounts Receivable Simulation (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 8 minutes
4168.0,ADO.NET (New),/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: ADO.NET (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4019.0,Adobe Experience Manager (New),/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 17,Test Name: Adobe Experience Manager (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 17 minutes
3778.0,Adobe Photoshop CC,/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 20,Test Name: Adobe Photoshop CC | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: Yes | Time required: 20 minutes
4069.0,Aeronautical Engineering (New),/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: Aeronautical Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4004.0,Aerospace Engineering (New),/products/product-catalog/view/aerospace-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: Aerospace Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4223.0,Agile Software Development,/products/product-catalog/view/agile-software-development/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7,Test Name: Agile Software Development | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 7 minutes
4159.0,Agile Testing (New),/products/product-catalog/view/agile-testing-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Agile Testing (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
4311.0,AI Skills,/products/product-catalog/view/ai-skills/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes = 16,Test Name: AI Skills | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No | Time required: 16 minutes
