name,url,remote_testing,adaptive_support,test_type
Global Skills Development Report,/products/product-catalog/view/global-skills-development-report/,Yes,No,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior"
.NET Framework 4.5,/products/product-catalog/view/net-framework-4-5/,Yes,No,Knowledge & Skills
.NET MVC (New),/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge & Skills
.NET MVVM (New),/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge & Skills
.NET WCF (New),/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge & Skills
.NET WPF (New),/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge & Skills
.NET XAML (New),/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge & Skills
Accounts Payable (New),/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge & Skills
Accounts Payable Simulation (New),/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Simulations
Accounts Receivable (New),/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge & Skills
Accounts Receivable Simulation (New),/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Simulations
ADO.NET (New),/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge & Skills
Adobe Experience Manager (New),/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,Knowledge & Skills
Adobe Photoshop CC,/products/product-catalog/view/adobe-photoshop-cc/,Yes,No,Knowledge & Skills
Aeronautical Engineering (New),/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,Knowledge & Skills
Aerospace Engineering (New),/products/product-catalog/view/aerospace-engineering-new/,Yes,No,Knowledge & Skills
Agile Software Development,/products/product-catalog/view/agile-software-development/,Yes,No,Knowledge & Skills
Agile Testing (New),/products/product-catalog/view/agile-testing-new/,Yes,No,Knowledge & Skills
AI Skills,/products/product-catalog/view/ai-skills/,Yes,No,Personality & Behavior
Amazon Web Services (AWS) Development (New),/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,Knowledge & Skills
Android Development (New),/products/product-catalog/view/android-development-new/,Yes,No,Knowledge & Skills
Angular 6 (New),/products/product-catalog/view/angular-6-new/,Yes,No,Knowledge & Skills
AngularJS (New),/products/product-catalog/view/angularjs-new/,Yes,No,Knowledge & Skills
Apache Hadoop (New),/products/product-catalog/view/apache-hadoop-new/,Yes,No,Knowledge & Skills
Apache Hadoop Extensions (New),/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,Knowledge & Skills
Apache HBase (New),/products/product-catalog/view/apache-hbase-new/,Yes,No,Knowledge & Skills
Apache Hive (New),/products/product-catalog/view/apache-hive-new/,Yes,No,Knowledge & Skills
Apache Kafka (New),/products/product-catalog/view/apache-kafka-new/,Yes,No,Knowledge & Skills
Apache Pig (New),/products/product-catalog/view/apache-pig-new/,Yes,No,Knowledge & Skills
Apache Spark (New),/products/product-catalog/view/apache-spark-new/,Yes,No,Knowledge & Skills
ASP .NET with C# (New),/products/product-catalog/view/asp-net-with-c-new/,Yes,No,Knowledge & Skills
ASP.NET 4.5,/products/product-catalog/view/asp-net-4-5/,Yes,No,Knowledge & Skills
Assessment and Development Center Exercises,/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,Assessment Exercises
Automata - Fix (New),/products/product-catalog/view/automata-fix-new/,Yes,No,Simulations
Automata - SQL (New),/products/product-catalog/view/automata-sql-new/,Yes,No,Simulations
Automata (New),/products/product-catalog/view/automata-new/,Yes,No,Simulations
Automata Data Science (New),/products/product-catalog/view/automata-data-science-new/,Yes,No,Simulations
Automata Data Science Pro (New),/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,Simulations
Automata Front End,/products/product-catalog/view/automata-front-end/,Yes,No,Simulations
Automata Pro (New),/products/product-catalog/view/automata-pro-new/,Yes,No,Simulations
Automata Selenium,/products/product-catalog/view/automata-selenium/,Yes,No,Simulations
Automation Anywhere RPA Development (New),/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,Knowledge & Skills
Automotive Engineering (New),/products/product-catalog/view/automotive-engineering-new/,Yes,No,Knowledge & Skills
Basic Biology (New),/products/product-catalog/view/basic-biology-new/,Yes,No,Knowledge & Skills
Basic Computer Literacy (Windows 10) (New),/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,"Simulations, Knowledge & Skills"
Basic Statistics (New),/products/product-catalog/view/basic-statistics-new/,Yes,No,Knowledge & Skills
Biochemistry (New),/products/product-catalog/view/biochemistry-new/,Yes,No,Knowledge & Skills
Biotech Lab Techniques (New),/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,Knowledge & Skills
BizTalk (New),/products/product-catalog/view/biztalk-new/,Yes,No,Knowledge & Skills
Business Communication (adaptive),/products/product-catalog/view/business-communication-adaptive/,Yes,No,Knowledge & Skills
Business Communications,/products/product-catalog/view/business-communications/,Yes,No,Knowledge & Skills
C Programming (New),/products/product-catalog/view/c-programming-new/,Yes,No,Knowledge & Skills
C# Programming (New),/products/product-catalog/view/c-programming-new-4039/,Yes,No,Knowledge & Skills
C++ Programming (New),/products/product-catalog/view/c-programming-new-4122/,Yes,No,Knowledge & Skills
Cardiology and Diabetes Management (New),/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,Knowledge & Skills
Ceramic Engineering (New),/products/product-catalog/view/ceramic-engineering-new/,Yes,No,Knowledge & Skills
Chemical Engineering (New),/products/product-catalog/view/chemical-engineering-new/,Yes,No,Knowledge & Skills
Cisco AppDynamics (New),/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,Knowledge & Skills
Civil Engineering (New),/products/product-catalog/view/civil-engineering-new/,Yes,No,Knowledge & Skills
Cloud Computing (New),/products/product-catalog/view/cloud-computing-new/,Yes,No,Knowledge & Skills
COBOL Programming (New),/products/product-catalog/view/cobol-programming-new/,Yes,No,Knowledge & Skills
Computer Science (New),/products/product-catalog/view/computer-science-new/,Yes,No,Knowledge & Skills
Contact Center Call Simulation (New),/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,Simulations
Conversational Multichat Simulation,/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,Simulations
Core Java (Advanced Level) (New),/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,Knowledge & Skills
