name,url,remote_testing,adaptive_support,test_type,text_for_embedding
Global Skills Development Report,/products/product-catalog/view/global-skills-development-report/,Yes,No,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior","Global Skills Development Report | Test Types: Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior | Remote: Yes | Adaptive: No"
.NET Framework 4.5,/products/product-catalog/view/net-framework-4-5/,Yes,No,Knowledge & Skills,.NET Framework 4.5 | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
.NET MVC (New),/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge & Skills,.NET MVC (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
.NET MVVM (New),/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge & Skills,.NET MVVM (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
.NET WCF (New),/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge & Skills,.NET WCF (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
.NET WPF (New),/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge & Skills,.NET WPF (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
.NET XAML (New),/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge & Skills,.NET XAML (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Accounts Payable (New),/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge & Skills,Accounts Payable (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Accounts Payable Simulation (New),/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Simulations,Accounts Payable Simulation (New) | Test Types: Simulations | Remote: Yes | Adaptive: No
Accounts Receivable (New),/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge & Skills,Accounts Receivable (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Accounts Receivable Simulation (New),/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Simulations,Accounts Receivable Simulation (New) | Test Types: Simulations | Remote: Yes | Adaptive: No
ADO.NET (New),/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge & Skills,ADO.NET (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Adobe Experience Manager (New),/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,Knowledge & Skills,Adobe Experience Manager (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Adobe Photoshop CC,/products/product-catalog/view/adobe-photoshop-cc/,Yes,No,Knowledge & Skills,Adobe Photoshop CC | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Aeronautical Engineering (New),/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,Knowledge & Skills,Aeronautical Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Aerospace Engineering (New),/products/product-catalog/view/aerospace-engineering-new/,Yes,No,Knowledge & Skills,Aerospace Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Agile Software Development,/products/product-catalog/view/agile-software-development/,Yes,No,Knowledge & Skills,Agile Software Development | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Agile Testing (New),/products/product-catalog/view/agile-testing-new/,Yes,No,Knowledge & Skills,Agile Testing (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
AI Skills,/products/product-catalog/view/ai-skills/,Yes,No,Personality & Behavior,AI Skills | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No
Amazon Web Services (AWS) Development (New),/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,Knowledge & Skills,Amazon Web Services (AWS) Development (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Android Development (New),/products/product-catalog/view/android-development-new/,Yes,No,Knowledge & Skills,Android Development (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Angular 6 (New),/products/product-catalog/view/angular-6-new/,Yes,No,Knowledge & Skills,Angular 6 (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
AngularJS (New),/products/product-catalog/view/angularjs-new/,Yes,No,Knowledge & Skills,AngularJS (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache Hadoop (New),/products/product-catalog/view/apache-hadoop-new/,Yes,No,Knowledge & Skills,Apache Hadoop (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache Hadoop Extensions (New),/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,Knowledge & Skills,Apache Hadoop Extensions (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache HBase (New),/products/product-catalog/view/apache-hbase-new/,Yes,No,Knowledge & Skills,Apache HBase (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache Hive (New),/products/product-catalog/view/apache-hive-new/,Yes,No,Knowledge & Skills,Apache Hive (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache Kafka (New),/products/product-catalog/view/apache-kafka-new/,Yes,No,Knowledge & Skills,Apache Kafka (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache Pig (New),/products/product-catalog/view/apache-pig-new/,Yes,No,Knowledge & Skills,Apache Pig (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Apache Spark (New),/products/product-catalog/view/apache-spark-new/,Yes,No,Knowledge & Skills,Apache Spark (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
ASP .NET with C# (New),/products/product-catalog/view/asp-net-with-c-new/,Yes,No,Knowledge & Skills,ASP .NET with C# (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
ASP.NET 4.5,/products/product-catalog/view/asp-net-4-5/,Yes,No,Knowledge & Skills,ASP.NET 4.5 | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No
Assessment and Development Center Exercises,/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,Assessment Exercises,Assessment and Development Center Exercises | Test Types: Assessment Exercises | Remote: Yes | Adaptive: No
