name,url,remote_testing,adaptive_support,test_type
Global Skills Development Report,/products/product-catalog/view/global-skills-development-report/,Yes,No,AEBCDP
.NET Framework 4.5,/products/product-catalog/view/net-framework-4-5/,Yes,No,K
.NET MVC (New),/products/product-catalog/view/net-mvc-new/,Yes,No,K
.NET MVVM (New),/products/product-catalog/view/net-mvvm-new/,Yes,No,K
.NET WCF (New),/products/product-catalog/view/net-wcf-new/,Yes,No,K
.NET WPF (New),/products/product-catalog/view/net-wpf-new/,Yes,No,K
.NET XAML (New),/products/product-catalog/view/net-xaml-new/,Yes,No,K
Accounts Payable (New),/products/product-catalog/view/accounts-payable-new/,Yes,No,K
Accounts Payable Simulation (New),/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,S
Accounts Receivable (New),/products/product-catalog/view/accounts-receivable-new/,Yes,No,K
Accounts Receivable Simulation (New),/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,S
ADO.NET (New),/products/product-catalog/view/ado-net-new/,Yes,No,K
Adobe Experience Manager (New),/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,K
Adobe Photoshop CC,/products/product-catalog/view/adobe-photoshop-cc/,Yes,No,K
Aeronautical Engineering (New),/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,K
Aerospace Engineering (New),/products/product-catalog/view/aerospace-engineering-new/,Yes,No,K
Agile Software Development,/products/product-catalog/view/agile-software-development/,Yes,No,K
Agile Testing (New),/products/product-catalog/view/agile-testing-new/,Yes,No,K
AI Skills,/products/product-catalog/view/ai-skills/,Yes,No,P
Amazon Web Services (AWS) Development (New),/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,K
Android Development (New),/products/product-catalog/view/android-development-new/,Yes,No,K
Angular 6 (New),/products/product-catalog/view/angular-6-new/,Yes,No,K
AngularJS (New),/products/product-catalog/view/angularjs-new/,Yes,No,K
Apache Hadoop (New),/products/product-catalog/view/apache-hadoop-new/,Yes,No,K
Apache Hadoop Extensions (New),/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,K
Apache HBase (New),/products/product-catalog/view/apache-hbase-new/,Yes,No,K
Apache Hive (New),/products/product-catalog/view/apache-hive-new/,Yes,No,K
Apache Kafka (New),/products/product-catalog/view/apache-kafka-new/,Yes,No,K
Apache Pig (New),/products/product-catalog/view/apache-pig-new/,Yes,No,K
Apache Spark (New),/products/product-catalog/view/apache-spark-new/,Yes,No,K
ASP .NET with C# (New),/products/product-catalog/view/asp-net-with-c-new/,Yes,No,K
ASP.NET 4.5,/products/product-catalog/view/asp-net-4-5/,Yes,No,K
Assessment and Development Center Exercises,/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,E
Automata - Fix (New),/products/product-catalog/view/automata-fix-new/,Yes,No,S
Automata - SQL (New),/products/product-catalog/view/automata-sql-new/,Yes,No,S
Automata (New),/products/product-catalog/view/automata-new/,Yes,No,S
Automata Data Science (New),/products/product-catalog/view/automata-data-science-new/,Yes,No,S
Automata Data Science Pro (New),/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,S
Automata Front End,/products/product-catalog/view/automata-front-end/,Yes,No,S
Automata Pro (New),/products/product-catalog/view/automata-pro-new/,Yes,No,S
Automata Selenium,/products/product-catalog/view/automata-selenium/,Yes,No,S
Automation Anywhere RPA Development (New),/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,K
Automotive Engineering (New),/products/product-catalog/view/automotive-engineering-new/,Yes,No,K
Basic Biology (New),/products/product-catalog/view/basic-biology-new/,Yes,No,K
Basic Computer Literacy (Windows 10) (New),/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,SK
Basic Statistics (New),/products/product-catalog/view/basic-statistics-new/,Yes,No,K
Biochemistry (New),/products/product-catalog/view/biochemistry-new/,Yes,No,K
Biotech Lab Techniques (New),/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,K
BizTalk (New),/products/product-catalog/view/biztalk-new/,Yes,No,K
Business Communication (adaptive),/products/product-catalog/view/business-communication-adaptive/,Yes,No,K
Business Communications,/products/product-catalog/view/business-communications/,Yes,No,K
C Programming (New),/products/product-catalog/view/c-programming-new/,Yes,No,K
C# Programming (New),/products/product-catalog/view/c-programming-new-4039/,Yes,No,K
C++ Programming (New),/products/product-catalog/view/c-programming-new-4122/,Yes,No,K
Cardiology and Diabetes Management (New),/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,K
Ceramic Engineering (New),/products/product-catalog/view/ceramic-engineering-new/,Yes,No,K
Chemical Engineering (New),/products/product-catalog/view/chemical-engineering-new/,Yes,No,K
Cisco AppDynamics (New),/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,K
Civil Engineering (New),/products/product-catalog/view/civil-engineering-new/,Yes,No,K
Cloud Computing (New),/products/product-catalog/view/cloud-computing-new/,Yes,No,K
COBOL Programming (New),/products/product-catalog/view/cobol-programming-new/,Yes,No,K
Computer Science (New),/products/product-catalog/view/computer-science-new/,Yes,No,K
Contact Center Call Simulation (New),/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,S
Conversational Multichat Simulation,/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,S
Core Java (Advanced Level) (New),/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,K
Core Java (Entry Level) (New),/products/product-catalog/view/core-java-entry-level-new/,Yes,No,K
Count Out The Money,/products/product-catalog/view/count-out-the-money/,Yes,No,KS
CSS3 (New),/products/product-catalog/view/css3-new/,Yes,No,K
Culinary Skills (New),/products/product-catalog/view/culinary-skills-new/,Yes,No,K
Customer Service Phone Simulation,/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,BS
Customer Service Phone Solution,/products/product-catalog/view/customer-service-phone-solution/,Yes,No,BPS
Cyber Risk (New),/products/product-catalog/view/cyber-risk-new/,Yes,No,K
Data Entry (New),/products/product-catalog/view/data-entry-new/,Yes,No,S
Data Entry Alphanumeric Split Screen - US,/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,K
Data Entry Numeric Split Screen - US,/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,K
Data Entry Ten Key Split Screen,/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,K
Data Science (New),/products/product-catalog/view/data-science-new/,Yes,No,K
Data Warehousing Concepts,/products/product-catalog/view/data-warehousing-concepts/,Yes,No,K
Dependability and Safety Instrument (DSI),/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,P
Dermatology (New),/products/product-catalog/view/dermatology-new/,Yes,No,K
Desktop Support (New),/products/product-catalog/view/desktop-support-new/,Yes,No,K
Digital Advertising (New),/products/product-catalog/view/digital-advertising-new/,Yes,No,K
Digital Readiness Development Report - IC,/products/product-catalog/view/digital-readiness-development-report/,Yes,No,P
Digital Readiness Development Report - Manager,/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,P
Docker (New),/products/product-catalog/view/docker-new/,Yes,No,K
Dojo (New),/products/product-catalog/view/dojo-new/,Yes,No,K
Drupal (New),/products/product-catalog/view/drupal-new/,Yes,No,K
DSI v1.1 Interpretation Report,/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,P
Econometrics (New),/products/product-catalog/view/econometrics-new/,Yes,No,K
Economics (New),/products/product-catalog/view/economics-new/,Yes,No,K
Electrical and Electronics Engineering (New),/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,K
Electrical Engineering (New),/products/product-catalog/view/electrical-engineering-new/,Yes,No,K
Electronics & Telecommunications Engineering (New),/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,K
Electronics and Embedded Systems Engineering (New),/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,K
Electronics and Semiconductor Engineering (New),/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,K
English Comprehension (New),/products/product-catalog/view/english-comprehension-new/,Yes,No,K
Enterprise Java Beans (New),/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,K
Enterprise Leadership Report 1.0,/products/product-catalog/view/enterprise-leadership-report/,Yes,No,P
Enterprise Leadership Report 2.0,/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,P
Entry Level Cashier Solution,/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,CP
Entry Level Customer Serv-Retail & Contact Center,/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,PC
Entry Level Customer Service (General) Solution,/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,CP
Entry Level Hotel Front Desk Solution,/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,CP
Entry Level Sales Solution,/products/product-catalog/view/entry-level-sales-solution/,Yes,No,CP
Entry Level Technical Support Solution,/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,PC
ETL Testing (New),/products/product-catalog/view/etl-testing-new/,Yes,No,K
Executive Scenarios,/products/product-catalog/view/executive-scenarios/,Yes,No,B
Executive Scenarios Narrative Report,/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,B
Executive Scenarios Profile Report,/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,B
ExpressJS (New),/products/product-catalog/view/expressjs-new/,Yes,No,K
Filing - Names (R1),/products/product-catalog/view/filing-names-r1/,Yes,No,K
Filing - Numbers,/products/product-catalog/view/filing-numbers/,Yes,No,K
Financial Accounting (New),/products/product-catalog/view/financial-accounting-new/,Yes,No,K
Financial and Banking Services (New),/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,K
Fire Engineering (New),/products/product-catalog/view/fire-engineering-new/,Yes,No,K
Following Instructions v1 - UK (R1),/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,K
Following Instructions v1 - US (R2),/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,K
Food and Beverage Services (New),/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,K
Food Science (New),/products/product-catalog/view/food-science-new/,Yes,No,K
Front Office Management (New),/products/product-catalog/view/front-office-management-new/,Yes,No,K
Fundamentals of Chemistry (New),/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,K
Fundamentals of Physics (New),/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,K
General Diseases (New),/products/product-catalog/view/general-diseases-new/,Yes,No,K
Geoinformatics Engineering (New),/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,K
Geoscience Engineering (New),/products/product-catalog/view/geoscience-engineering-new/,Yes,No,K
GIT (New),/products/product-catalog/view/git-new/,Yes,No,K
Global Skills Assessment,/products/product-catalog/view/global-skills-assessment/,Yes,No,CK
Graduate Scenarios,/products/product-catalog/view/graduate-scenarios/,Yes,No,B
Graduate Scenarios Narrative Report,/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,B
Graduate Scenarios Profile Report,/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,B
Hibernate (New),/products/product-catalog/view/hibernate-new/,Yes,No,K
HIPAA (Security),/products/product-catalog/view/hipaa-security/,Yes,No,K
HiPo Assessment Report 1.0,/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,CP
HiPo Assessment Report 2.0,/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,CP
HiPo Unlocking Potential Report 2.0,/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,C
Housekeeping (New),/products/product-catalog/view/housekeeping-new/,Yes,No,K
HTML/CSS (New),/products/product-catalog/view/htmlcss-new/,Yes,No,K
HTML5 (New),/products/product-catalog/view/html5-new/,Yes,No,K
Human Resources (New),/products/product-catalog/view/human-resources-new/,Yes,No,K
IBM DataStage (New),/products/product-catalog/view/ibm-datastage-new/,Yes,No,K
IBM Sterling Order Management System (New),/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,K
Industrial Engineering (New),/products/product-catalog/view/industrial-engineering-new/,Yes,No,K
Informatica (Architecture) (New),/products/product-catalog/view/informatica-architecture-new/,Yes,No,K
Informatica (Developer) (New),/products/product-catalog/view/informatica-developer-new/,Yes,No,K
Instrumentation Engineering (New),/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,K
Interpersonal Communications,/products/product-catalog/view/interpersonal-communications/,Yes,No,K
Interviewing and Hiring Concepts (U.S.),/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,No,K
iOS Development (New),/products/product-catalog/view/ios-development-new/,Yes,No,K
ITIL (IT Infrastructure Library) (New),/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,K
Java 2 Platform Enterprise Edition 1.4 Fundamental,/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,No,K
Java 8 (New),/products/product-catalog/view/java-8-new/,Yes,No,K
Java Design Patterns (New),/products/product-catalog/view/java-design-patterns-new/,Yes,No,K
Java Frameworks (New),/products/product-catalog/view/java-frameworks-new/,Yes,No,K
Java Platform Enterprise Edition 7 (Java EE 7),/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,No,K
Java Web Services (New),/products/product-catalog/view/java-web-services-new/,Yes,No,K
JavaScript (New),/products/product-catalog/view/javascript-new/,Yes,No,K
Jenkins (New),/products/product-catalog/view/jenkins-new/,Yes,No,K
Job Control Language (New),/products/product-catalog/view/job-control-language-new/,Yes,No,K
jQuery (New),/products/product-catalog/view/jquery-new/,Yes,No,K
Kubernetes (New),/products/product-catalog/view/kubernetes-new/,Yes,No,K
Linux Administration (New),/products/product-catalog/view/linux-administration-new/,Yes,No,K
Linux Operating System,/products/product-catalog/view/linux-operating-system/,Yes,No,K
Linux Programming (General),/products/product-catalog/view/linux-programming-general/,Yes,No,K
Load Runner (New),/products/product-catalog/view/load-runner-new/,Yes,No,K
Management Scenarios,/products/product-catalog/view/management-scenarios/,Yes,No,B
Managerial Scenarios Candidate Report,/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,B
Managerial Scenarios Narrative Report,/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,B
Managerial Scenarios Profile Report,/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,B
Manual Testing (New),/products/product-catalog/view/manual-testing-new/,Yes,No,K
Manufac. & Indust. - Mechanical & Vigilance 8.0,/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,AP
Manufac. & Indust. - Safety & Dependability 8.0,/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,P
Manufacturing & Industrial - Essential Focus 8.0,/products/product-catalog/view/essential-focus-8-0/,Yes,No,P
Manufacturing & Industrial - Mechanical Focus 8.0,/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,AP
Manufacturing & Industrial - Vigilance Focus 8.0,/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,AP
Marketing (New),/products/product-catalog/view/marketing-new/,Yes,No,K
Maven (New),/products/product-catalog/view/maven-new/,Yes,No,K
Mechanical Engineering (New),/products/product-catalog/view/mechanical-engineering-new/,Yes,No,K
Mechatronics Engineering (New),/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,K
Medical Terminology (New),/products/product-catalog/view/medical-terminology-new/,Yes,No,K
Metallurgical Engineering (New),/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,K
MFS 360 Enterprise Leadership Report,/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,D
MFS 360 UCF Group Report,/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,D
MFS 360 UCF Performance Potential Dev Tips Report,/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,D
MFS 360 UCF Standard Report,/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,D
Micro Focus Unified Functional Testing (New),/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,K
Microservices (New),/products/product-catalog/view/microservices-new/,Yes,No,K
Microsoft Dynamics Development (New),/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,K
Microsoft Excel 365 - Essentials (New),/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,KS
Microsoft Excel 365 (New),/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,KS
Microsoft Outlook 2013 (adaptive),/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,No,K
Microsoft PowerPoint 365 - Essentials (New),/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,KS
Microsoft SQL Server 2014 Programming,/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,No,K
Microsoft Windows Server 2012 Administration,/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,No,K
Microsoft Word 365 - Essentials (New),/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,KS
Microsoft Word 365 (New),/products/product-catalog/view/microsoft-word-365-new/,Yes,No,SK
Mineral Engineering (New),/products/product-catalog/view/mineral-engineering-new/,Yes,No,K
Mining Engineering (New),/products/product-catalog/view/mining-engineering-new/,Yes,No,K
Mobility (New),/products/product-catalog/view/mobility-new/,Yes,No,K
Molecular Biology (New),/products/product-catalog/view/molecular-biology-new/,Yes,No,K
MongoDB (New),/products/product-catalog/view/mongodb-new/,Yes,No,K
Motivation Questionnaire MQM5,/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,P
MQ Candidate Motivation Report,/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,P
MQ Employee Motivation Report,/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,P
MQ Motivation Report Pack,/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,P
MQ Profile,/products/product-catalog/view/mq-profile/,Yes,No,P
MS Access (New),/products/product-catalog/view/ms-access-new/,Yes,No,K
MS Excel (New),/products/product-catalog/view/ms-excel-new/,Yes,No,K
MS Office Basic Computer Literacy (New),/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,K
MS Office Basic Computer Literacy (Sim) (New),/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,S
MS PowerPoint (New),/products/product-catalog/view/ms-powerpoint-new/,Yes,No,K
MS Word (New),/products/product-catalog/view/ms-word-new/,Yes,No,K
MuleSoft Development (New),/products/product-catalog/view/mulesoft-development-new/,Yes,No,K
Multitasking Ability,/products/product-catalog/view/multitasking-ability/,Yes,No,AKS
Networking and Implementation (New),/products/product-catalog/view/networking-and-implementation-new/,Yes,No,K
Node.js (New),/products/product-catalog/view/node-js-new/,Yes,No,K
Nursing (New),/products/product-catalog/view/nursing-new/,Yes,No,K
Occupational Personality Questionnaire OPQ32r,/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,P
Operations Management (New),/products/product-catalog/view/operations-management-new/,Yes,No,K
OPQ Candidate Plus Report,/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,P
OPQ Candidate Report 2.0,/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,P
OPQ Emotional Intelligence Report,/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,P
OPQ Leadership Report,/products/product-catalog/view/opq-leadership-report/,Yes,No,P
OPQ Manager Plus Report,/products/product-catalog/view/opq-manager-plus-report/,Yes,No,P
OPQ Manager Plus Report 2.0,/products/product-catalog/view/opq-manager-plus-report-2-0/,Yes,No,P
OPQ Maximising your Learning Report,/products/product-catalog/view/opq-maximising-your-learning-report/,Yes,No,P
OPQ MQ Sales Report,/products/product-catalog/view/opq-mq-sales-report/,Yes,No,P
OPQ Premium Plus Report,/products/product-catalog/view/opq-premium-plus-report/,Yes,No,P
OPQ Premium Plus Report 2.0,/products/product-catalog/view/opq-premium-plus-report-2-0/,Yes,No,P
OPQ Profile Report,/products/product-catalog/view/opq-profile-report/,Yes,No,P
OPQ Team Impact Group Development Report,/products/product-catalog/view/opq-team-impact-group-development-report/,Yes,No,P
OPQ Team Impact Individual Development Report,/products/product-catalog/view/opq-team-impact-individual-development-report/,Yes,No,P
OPQ Team Impact Selection Report,/products/product-catalog/view/opq-team-impact-selection-report/,Yes,No,P
OPQ Team Types & Leadership Styles Profile,/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,Yes,No,P
OPQ Team Types and Leadership Styles Report,/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Yes,No,P
OPQ UCF Development Action Planner Report 1.0,/products/product-catalog/view/opq-ucf-development-action-planner-report/,Yes,No,P
OPQ UCF Development Action Planner Report 2.0,/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Yes,No,P
OPQ Universal Competency Report 1.0,/products/product-catalog/view/opq-universal-competency-report/,Yes,No,P
OPQ Universal Competency Report 2.0,/products/product-catalog/view/opq-universal-competency-report-2-0/,Yes,No,P
OPQ User and Managers Report,/products/product-catalog/view/opq-user-and-managers-report/,Yes,No,P
OPQ User Report,/products/product-catalog/view/opq-user-report/,Yes,No,PS
Oracle DBA (Advanced Level) (New),/products/product-catalog/view/oracle-dba-advanced-level-new/,Yes,No,K
Oracle DBA (Entry Level) (New),/products/product-catalog/view/oracle-dba-entry-level-new/,Yes,No,K
Oracle PL/SQL (New),/products/product-catalog/view/oracle-plsql-new/,Yes,No,K
Oracle WebLogic Server (New),/products/product-catalog/view/oracle-weblogic-server-new/,Yes,No,K
Organic Chemistry (New),/products/product-catalog/view/organic-chemistry-new/,Yes,No,K
Paint Technology (New),/products/product-catalog/view/paint-technology-new/,Yes,No,K
Pediatrics (New),/products/product-catalog/view/pediatrics-new/,Yes,No,K
Pega Development (New),/products/product-catalog/view/pega-development-new/,Yes,No,K
Perl (New),/products/product-catalog/view/perl-new/,Yes,No,K
Petrochemical Engineering (New),/products/product-catalog/view/petrochemical-engineering-new/,Yes,No,K
Petroleum Engineering (New),/products/product-catalog/view/petroleum-engineering-new/,Yes,No,K
Pharmaceutical Analysis (New),/products/product-catalog/view/pharmaceutical-analysis-new/,Yes,No,K
Pharmaceutical Chemistry (New),/products/product-catalog/view/pharmaceutical-chemistry-new/,Yes,No,K
Pharmaceutical Science (New),/products/product-catalog/view/pharmaceutical-science-new/,Yes,No,K
Pharmaceutics (New),/products/product-catalog/view/pharmaceutics-new/,Yes,No,K
Pharmacology (New),/products/product-catalog/view/pharmacology-new/,Yes,No,K
PHP (New),/products/product-catalog/view/php-new/,Yes,No,K
PJM Development Report,/products/product-catalog/view/pjm-development-report/,Yes,No,CAP
PJM Selection Report,/products/product-catalog/view/pjm-selection-report/,Yes,No,ACP
Polymer Engineering (New),/products/product-catalog/view/polymer-engineering-new/,Yes,No,K
Power Electronics and Drives (New),/products/product-catalog/view/power-electronics-and-drives-new/,Yes,No,K
Power System Engineering (New),/products/product-catalog/view/power-system-engineering-new/,Yes,No,K
Prism (New),/products/product-catalog/view/prism-new/,Yes,No,K
Production and Industrial Engineering (New),/products/product-catalog/view/production-and-industrial-engineering-new/,Yes,No,K
Production Engineering (New),/products/product-catalog/view/production-engineering-new/,Yes,No,K
Programming Concepts,/products/product-catalog/view/programming-concepts/,Yes,No,K
Project Management (2013),/products/product-catalog/view/project-management-2013/,Yes,No,K
Proofreading v1,/products/product-catalog/view/proofreading-v1/,Yes,No,K
Python (New),/products/product-catalog/view/python-new/,Yes,No,K
R Programming (New),/products/product-catalog/view/r-programming-new/,Yes,No,K
ReactJS (New),/products/product-catalog/view/reactjs-new/,Yes,No,K
Reading Comprehension - English v1,/products/product-catalog/view/reading-comprehension-english-v1/,Yes,No,A
Reading Comprehension - Spanish v1,/products/product-catalog/view/reading-comprehension-spanish-v1/,Yes,No,A
Reading Comprehension v2,/products/product-catalog/view/reading-comprehension-v2/,Yes,No,A
RemoteWorkQ,/products/product-catalog/view/remoteworkq/,Yes,No,C
RemoteWorkQ Manager Report,/products/product-catalog/view/remoteworkq-manager-report/,Yes,No,C
RemoteWorkQ Participant Report,/products/product-catalog/view/remoteworkq-participant-report/,Yes,No,C
RESTful Web Services (New),/products/product-catalog/view/restful-web-services-new/,Yes,No,K
Retail Sales and Service Simulation,/products/product-catalog/view/retail-sales-and-service-simulation/,Yes,No,BKSA
Reviewing Forms - US (R1),/products/product-catalog/view/reviewing-forms-us-r1/,Yes,No,K
Ruby (New),/products/product-catalog/view/ruby-new/,Yes,No,K
Ruby on Rails (New),/products/product-catalog/view/ruby-on-rails-new/,Yes,No,K
Sales & Service Phone Simulation,/products/product-catalog/view/sales-and-service-phone-simulation/,Yes,No,SB
Sales & Service Phone Solution,/products/product-catalog/view/sales-and-service-phone-solution/,Yes,No,BPS
Sales Interview Guide,/products/product-catalog/view/sales-interview-guide/,Yes,No,PP
Sales Profiler Cards,/products/product-catalog/view/sales-profiler-cards/,Yes,No,P
Sales Transformation 1.0 - Individual Contributor,/products/product-catalog/view/sales-transformation-report-individual-contributor/,Yes,No,P
Sales Transformation 2.0 - Individual Contributor,/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,Yes,No,P
Sales Transformation Report 1.0 - Sales Manager,/products/product-catalog/view/sales-transformation-report-sales-manager/,Yes,No,P
Sales Transformation Report 2.0 - Sales Manager,/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,Yes,No,P
Salesforce Development (New),/products/product-catalog/view/salesforce-development-new/,Yes,No,K
SAP ABAP (Advanced Level) (New),/products/product-catalog/view/sap-abap-advanced-level-new/,Yes,No,K
SAP ABAP (Intermediate Level) (New),/products/product-catalog/view/sap-abap-intermediate-level-new/,Yes,No,K
SAP Basis (New),/products/product-catalog/view/sap-basis-new/,Yes,No,K
SAP Business Objects WebI (New),/products/product-catalog/view/sap-business-objects-webi-new/,Yes,No,K
SAP BW (Business Warehouse) (New),/products/product-catalog/view/sap-bw-business-warehouse-new/,Yes,No,K
SAP HCM (Human Capital Management) (New),/products/product-catalog/view/sap-hcm-human-capital-management-new/,Yes,No,K
SAP Hybris (New),/products/product-catalog/view/sap-hybris-new/,Yes,No,K
SAP Materials Management (New),/products/product-catalog/view/sap-materials-management-new/,Yes,No,K
SAP SD (Sales and Distribution) (New),/products/product-catalog/view/sap-sd-sales-and-distribution-new/,Yes,No,K
Search Engine Optimization (New),/products/product-catalog/view/search-engine-optimization-new/,Yes,No,K
